"8471303","108","Alexander Edler","VAN","D","82","11","38","49","+0","34","5","1","0","0","228","4.8","23:51","28.9","0.0"
"8471185","109","Curtis Glencross","CGY","L","67","26","22","48","-13","62","8","1","3","0","110","23.6","18:01","23.1","50.0"
"8467988","110","Ryan Malone","TBL","L","68","20","28","48","-11","82","5","1","2","1","144","13.9","17:41","20.8","36.7"
"8460719","111","Steve Sullivan","PIT","L","79","17","31","48","-3","20","5","0","1","0","140","12.1","15:21","17.8","44.4"
"8467096","112","Dan Boyle","SJS","D","81","9","39","48","+10","57","3","0","2","1","252","3.6","25:34","29.4","0.0"
"8476177","113","Matt Read","PHI","R","79","24","23","47","+13","12","4","2","6","0","155","15.5","17:03","21.5","41.0"
"8475098","114","Tyler Bozak","TOR","C","73","18","29","47","-7","22","4","0","1","0","109","16.5","18:50","22.9","52.7"
"8474040","115","Sam Gagner","EDM","C","75","18","29","47","+5","36","6","0","0","0","149","12.1","17:10","21.4","47.6"
"8469581","116","Kyle Wellwood","WPG","C","77","18","29","47","+3","4","4","0","1","1","93","19.4","14:57","18.3","54.0"
"8470144","117","Frans Nielsen","NYI","C","82","17","30","47","-3","6","5","0","1","0","133","12.8","17:27","22.4","45.2"
"8473422","118","Nick Foligno","OTT","L","82","15","32","47","+2","124","1","0","3","0","153","9.8","14:38","20.4","41.6"
"8468309","119","Mark Streit","NYI","D","82","7","40","47","-27","46","3","0","1","1","149","4.7","23:22","24.9","0.0"
"8470920","120","David Clarkson","NJD","R","80","30","16","46","-8","138","8","0","7","1","228","13.2","16:21","21.1","42.0"
"8473412","121","Bryan Little","WPG","C","74","24","22","46","-11","26","6","0","6","0","162","14.8","20:13","24.2","49.6"
"8460496","122","Ryan Smyth","EDM","L","82","19","27","46","-5","82","4","0","4","0","194","9.8","19:04","24.9","44.0"
"8475149","123","Marcus Johansson","WSH","C","80","14","32","46","-5","8","1","0","3","0","90","15.6","16:48","19.8","43.2"
